,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,CLE,Myles Garrett\GarrMy00,DE,21,2019,0,1,3,22,22,37,0,0,0,0,0,0,0,0,0,0,0,74,,30.5,Texas A&M,College Stats
1,2,CHI,Mitchell Trubisky\TrubMi00,QB,23,2019,0,1,3,27,27,41,811,1280,8554,48,29,157,862,7,0,0,0,,,,North Carolina,College Stats
1,3,SFO,Solomon Thomas\ThomSo00,DE,22,2019,0,0,2,14,14,46,0,0,0,0,0,0,0,0,0,0,0,73,,6.0,Stanford,College Stats
1,4,JAX,Leonard Fournette\FourLe00,RB,22,2019,0,0,3,20,20,36,0,0,0,0,0,666,2631,17,134,1009,2,,,,LSU,College Stats
1,5,TEN,Corey Davis\DaviCo03,WR,22,2019,0,0,3,14,14,42,0,0,0,0,0,6,55,0,142,1867,6,,,,West. Michigan,College Stats
1,6,NYJ,Jamal Adams\AdamJa00,S,21,2019,1,2,3,28,28,46,0,0,0,0,0,0,0,0,0,0,0,210,2,12.0,LSU,College Stats
1,7,LAC,Mike Williams\WillMi07,WR,22,2019,0,0,1,15,15,41,0,0,0,0,0,8,30,1,103,1760,12,,,,Clemson,College Stats
1,8,CAR,Christian McCaffrey\McCaCh01,RB,21,2019,1,1,3,38,38,48,1,3,50,1,0,623,2920,24,303,2523,15,,,,Stanford,College Stats
1,9,CIN,John Ross\RossJo00,WR,22,2019,0,0,2,5,5,24,0,0,0,0,0,8,25,0,49,716,10,,,,Washington,College Stats
1,10,KAN,Patrick Mahomes\MahoPa00,QB,21,2019,1,2,2,39,39,31,724,1099,9412,76,18,110,500,4,0,0,0,,,,Texas Tech,College Stats
1,11,NOR,Marshon Lattimore\LattMa01,CB,21,2019,0,2,3,20,20,43,0,0,0,0,0,0,0,0,0,0,0,138,8,,Ohio St.,College Stats
1,12,HOU,Deshaun Watson\WatsDe00,QB,21,2019,0,2,2,38,38,38,804,1204,9716,71,29,217,1233,14,1,6,1,,,,Clemson,College Stats
1,13,ARI,Haason Reddick\ReddHa00,LB,22,2019,0,0,1,12,12,48,0,0,0,0,0,0,0,0,0,0,0,119,,7.5,Temple,College Stats
1,14,PHI,Derek Barnett\BarnDe01,DE,21,2019,0,0,1,13,13,35,0,0,0,0,0,0,0,0,0,0,0,54,,14.0,Tennessee,College Stats
1,15,IND,Malik Hooker\HookMa00,S,21,2019,0,0,2,13,13,34,0,0,0,0,0,0,0,0,0,0,0,76,7,,Ohio St.,College Stats
1,16,BAL,Marlon Humphrey\HumpMa00,CB,21,2019,1,1,2,20,20,46,0,0,0,0,0,0,0,0,0,0,0,114,7,,Alabama,College Stats
1,17,WAS,Jonathan Allen\AlleJo01,DE,22,2019,0,0,2,16,16,36,0,0,0,0,0,0,0,0,0,0,0,84,,15.0,Alabama,College Stats
1,18,TEN,Adoree' Jackson\JackAd00,CB,21,2019,0,0,3,15,15,43,0,0,0,0,0,5,55,0,0,0,0,167,2,,USC,College Stats
1,19,TAM,O.J. Howard\HowaO.00,TE,22,2019,0,0,3,11,11,38,0,0,0,0,0,0,0,0,94,1456,12,,,,Alabama,College Stats
1,20,DEN,Garett Bolles\BollGa00,T,25,2019,0,0,3,21,21,48,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,College Stats
1,21,DET,Jarrad Davis\DaviJa01,LB,21,2019,0,0,3,20,20,41,0,0,0,0,0,0,0,0,0,0,0,176,1,10.0,Florida,College Stats
1,22,MIA,Charles Harris\HarrCh03,OLB,22,2019,0,0,0,7,7,41,0,0,0,0,0,0,0,0,0,0,0,34,,3.5,Missouri,College Stats
1,23,NYG,Evan Engram\EngrEv00,TE,23,2019,0,0,2,13,13,34,0,0,0,0,0,7,57,0,153,1766,12,,,,Mississippi,College Stats
1,24,OAK,Gareon Conley\ConlGa00,CB,22,2019,0,0,1,9,7,31,0,0,0,0,0,0,0,0,0,0,0,65,4,,Ohio St.,College Stats
1,25,CLE,Jabrill Peppers\PeppJa00,S,21,2019,0,0,3,14,11,40,0,0,0,0,0,0,0,0,0,0,0,148,3,1.0,Michigan,College Stats
1,26,ATL,Takkarist McKinley\McKiTa00,DE,21,2019,0,0,2,12,12,45,0,0,0,0,0,0,0,0,0,0,0,48,,16.5,UCLA,College Stats
1,27,BUF,Tre'Davious White\WhitTr01,CB,22,2019,1,1,2,29,29,47,0,0,0,0,0,0,0,0,0,0,0,145,12,1.0,LSU,College Stats
1,28,DAL,Taco Charlton\CharTa00,DE,22,2019,0,0,0,8,6,37,0,0,0,0,0,0,0,0,0,0,0,42,,9.0,Michigan,College Stats
1,29,CLE,David Njoku\NjokDa00,TE,21,2019,0,0,1,7,7,36,0,0,0,0,0,1,1,0,93,1066,9,,,,Miami (FL),College Stats
1,30,PIT,T.J. Watt\WattT.00,OLB,22,2019,1,2,3,31,31,47,0,0,0,0,0,0,0,0,0,0,0,125,3,34.5,Wisconsin,College Stats
1,31,SFO,Reuben Foster\FostRe00,LB,23,2018,0,0,1,8,8,16,0,0,0,0,0,0,0,0,0,0,0,84,,,Alabama,College Stats
1,32,NOR,Ryan Ramczyk\RamcRy00,T,23,2019,1,0,3,39,39,47,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats
2,33,GNB,Kevin King\KingKe01,CB,22,2019,0,0,1,10,10,30,0,0,0,0,0,0,0,0,0,0,0,92,6,1.0,Washington,College Stats
2,34,JAX,Cam Robinson\RobiCa00,T,21,2019,0,0,2,16,16,32,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
2,35,SEA,Malik McDowell\McDoMa00,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan St.,College Stats
2,36,ARI,Budda Baker\BakeBu00,S,21,2019,1,2,2,20,20,46,0,0,0,0,0,0,0,0,0,0,0,240,,3.5,Washington,College Stats
2,37,BUF,Zay Jones\JoneZa00,WR,22,2019,0,0,2,10,9,46,0,1,0,0,0,2,3,0,110,1184,9,,,,East Carolina,College Stats
2,38,LAC,Forrest Lamp\LampFo00,G,23,2019,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,Western Kentucky,College Stats
2,39,NYJ,Marcus Maye\MayeMa00,S,24,2019,0,0,2,14,14,38,0,0,0,0,0,0,0,0,0,0,0,137,4,0.5,Florida,College Stats
2,40,CAR,Curtis Samuel\SamuCu00,WR,21,2019,0,0,2,12,12,38,0,0,0,0,0,31,278,3,108,1236,11,5,,,Ohio St.,College Stats
2,41,MIN,Dalvin Cook\CookDa01,RB,22,2019,0,1,2,23,23,29,0,0,0,0,0,457,2104,17,104,914,2,,,,Florida St.,College Stats
2,42,NOR,Marcus Williams\WillMa06,S,20,2019,0,0,3,16,16,46,0,0,0,0,0,0,0,0,0,0,0,148,10,1.0,Utah,
2,43,PHI,Sidney Jones\JoneSi00,CB,21,2019,0,0,0,4,4,22,0,0,0,0,0,0,0,0,0,0,0,42,2,,Washington,College Stats
2,44,LAR,Gerald Everett\EverGe00,TE,23,2019,0,0,0,9,9,45,0,0,0,0,0,4,29,0,86,972,7,,,,South Alabama,College Stats
2,45,CHI,Adam Shaheen\ShahAd00,TE,22,2019,0,0,0,2,2,27,0,0,0,0,0,0,0,0,26,249,4,1,,,Ashland,
2,46,IND,Quincy Wilson\WilsQu01,CB,21,2019,0,0,0,5,5,29,0,0,0,0,0,0,0,0,0,0,0,48,2,,Florida,College Stats
2,47,BAL,Tyus Bowser\BowsTy00,OLB,22,2019,0,0,0,6,6,47,0,0,0,0,0,0,0,0,0,0,0,35,1,8.5,Houston,College Stats
2,48,CIN,Joe Mixon\MixoJo00,RB,21,2019,0,0,2,24,24,44,0,0,0,0,0,693,2931,17,108,870,4,,,,Oklahoma,College Stats
2,49,WAS,Ryan Anderson\AndeRy00,OLB,23,2019,0,0,0,5,5,43,0,0,0,0,0,0,0,0,0,0,0,49,,6.0,Alabama,College Stats
2,50,TAM,Justin Evans\EvanJu00,S,22,2018,0,0,2,7,7,24,0,0,0,0,0,0,0,0,0,0,0,93,4,,Texas A&M,College Stats
2,51,DEN,DeMarcus Walker\WalkDe03,DE,22,2019,0,0,0,4,4,23,0,0,0,0,0,0,0,0,0,0,0,22,,6.0,Florida St.,College Stats
2,52,CLE,DeShone Kizer\KizeDe00,QB,21,2018,0,0,1,6,5,18,275,518,3081,11,24,82,458,5,0,0,0,,,,Notre Dame,College Stats
2,53,DET,Teez Tabor\TaboTe00,CB,21,2018,0,0,0,3,3,22,0,0,0,0,0,0,0,0,0,0,0,36,,,Florida,College Stats
2,54,MIA,Raekwon McMillan\McMiRa02,LB,21,2019,0,0,2,11,11,29,0,0,0,0,0,0,0,0,0,0,0,104,,,Ohio St.,College Stats
2,55,NYG,Dalvin Tomlinson\TomlDa00,DT,23,2019,0,0,3,20,20,48,0,0,0,0,0,0,0,0,0,0,0,81,,4.5,Alabama,College Stats
2,56,OAK,Obi Melifonwu\MeliOb00,S,23,2018,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,9,,,Connecticut,College Stats
2,57,HOU,Zach Cunningham\CunnZa00,LB,22,2019,0,0,3,21,21,46,0,0,0,0,0,0,0,0,0,0,0,220,1,3.5,Vanderbilt,College Stats
2,58,SEA,Ethan Pocic\PociEt00,C,22,2019,0,0,0,8,8,30,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats
2,59,KAN,Tanoh Kpassagnon\KpasTa00,DE,23,2019,0,0,1,8,8,45,0,0,0,0,0,0,0,0,0,0,0,32,,6.0,Villanova,
2,60,DAL,Chidobe Awuzie\AwuzCh00,CB,22,2019,0,0,2,14,14,41,0,0,0,0,0,0,0,0,0,0,0,119,3,,Colorado,College Stats
2,61,GNB,Josh Jones\JoneJo06,S,22,2019,0,0,0,5,5,35,0,0,0,0,0,0,0,0,0,0,0,101,1,3.0,North Carolina St.,College Stats
2,62,PIT,JuJu Smith-Schuster\SmitJu00,WR,20,2019,0,1,2,24,24,42,0,0,0,0,0,1,13,0,211,2895,17,,,,USC,College Stats
2,63,BUF,Dion Dawkins\DawkDi00,G,23,2019,0,0,3,18,18,48,0,0,0,0,0,0,0,0,2,8,2,,,,Temple,College Stats
2,64,CAR,Taylor Moton\MotoTa00,G,23,2019,0,0,2,18,18,48,0,0,0,0,0,0,0,0,0,0,0,,,,West. Michigan,College Stats
3,65,CLE,Larry Ogunjobi\OgunLa00,DT,23,2019,0,0,2,16,16,45,0,0,0,0,0,0,0,0,0,0,0,85,,12.0,Charlotte,College Stats
3,66,SFO,Ahkello Witherspoon\WithAh00,CB,22,2019,0,0,2,10,10,36,0,0,0,0,0,0,0,0,0,0,0,82,3,,Colorado,College Stats
3,67,NOR,Alvin Kamara\KamaAl00,RB,22,2019,0,3,2,41,41,45,1,1,13,0,0,485,2408,27,243,2068,10,,,,Tennessee,College Stats
3,68,JAX,Dawuane Smoot\SmooDa00,DE,22,2019,0,0,0,5,5,40,0,0,0,0,0,0,0,0,0,0,0,29,,6.0,Illinois,College Stats
3,69,LAR,Cooper Kupp\KuppCo00,WR,24,2019,0,0,2,23,23,39,0,2,0,0,0,6,29,0,196,2596,21,,,,East. Washington,
3,70,MIN,Pat Elflein\ElflPa00,C,23,2019,0,0,3,21,21,43,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats
3,71,LAC,Dan Feeney\FeenDa00,G,23,2019,0,0,3,20,20,47,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,College Stats
3,72,TEN,Taywan Taylor\TaylTa00,WR,22,2019,0,0,0,6,6,32,0,0,0,0,0,8,43,0,53,697,2,4,,,Western Kentucky,College Stats
3,73,CIN,Jordan Willis\WillJo09,OLB,22,2019,0,0,0,5,4,41,0,0,0,0,0,0,0,0,0,0,0,36,,3.0,Kansas St.,College Stats
3,74,BAL,Chris Wormley\WormCh00,DE,23,2019,0,0,0,10,10,39,0,0,0,0,0,0,0,0,0,0,0,35,,2.5,Michigan,College Stats
3,75,ATL,Duke Riley\RileDu00,LB,23,2019,0,0,1,8,7,44,0,0,0,0,0,0,0,0,0,0,0,64,,,LSU,College Stats
3,76,NOR,Alex Anzalone\AnzaAl00,LB,22,2019,0,0,0,6,6,22,0,0,0,0,0,0,0,0,0,0,0,63,1,4.0,Florida,College Stats
3,77,CAR,Daeshon Hall\HallDa01,DE,22,2019,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,6,,1.5,Texas A&M,College Stats
3,78,BAL,Tim Williams\WillTi00,OLB,23,2019,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,13,,2.0,Alabama,College Stats
3,79,NYJ,ArDarius Stewart\StewAr00,WR,23,2017,0,0,0,1,1,15,0,0,0,0,0,7,27,0,6,82,0,,,,Alabama,College Stats
3,80,IND,Tarell Basham\BashTa00,DE,23,2019,0,0,0,5,1,42,0,0,0,0,0,0,0,0,0,0,0,29,1,4.0,Ohio,College Stats
3,81,WAS,Fabian Moreau\MoreFa00,CB,23,2019,0,0,1,8,8,44,0,0,0,0,0,0,0,0,0,0,0,77,4,,UCLA,College Stats
3,82,DEN,Carlos Henderson\HendCa01,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Louisiana Tech,College Stats
3,83,NWE,Derek Rivers\RiveDe00,DE,23,2018,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,2,,1.0,Youngstown St.,
3,84,TAM,Chris Godwin\GodwCh00,WR,21,2019,0,1,1,19,19,46,0,0,0,0,0,1,8,0,179,2700,17,7,,,Penn St.,College Stats
3,85,NWE,Antonio Garcia\GarcAn00,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Troy,College Stats
3,86,KAN,Kareem Hunt\HuntKa00,RB,22,2019,0,1,2,28,25,35,0,0,0,0,0,496,2330,17,116,1118,11,,,,Toledo,College Stats
3,87,NYG,Davis Webb\WebbDa00,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,California,College Stats
3,88,OAK,Eddie Vanderdoes\VandEd00,DT,22,2019,0,0,1,5,5,19,0,0,0,0,0,0,0,0,0,0,0,18,,,UCLA,College Stats
3,89,HOU,D'Onta Foreman\ForeDO00,RB,21,2018,0,0,0,3,3,11,0,0,0,0,0,85,326,2,8,111,1,,,,Texas,College Stats
3,90,SEA,Shaquill Griffin\GrifSh00,DB,22,2019,0,1,3,18,18,45,0,0,0,0,0,0,0,0,0,0,0,150,3,1.0,Central Florida,
3,91,LAR,John Johnson\JohnJo10,S,21,2019,0,0,2,13,13,38,0,0,0,0,0,0,0,0,0,0,0,162,7,,Boston Col.,College Stats
3,92,DAL,Jourdan Lewis\LewiJo01,CB,22,2019,0,0,0,9,9,46,0,0,0,0,0,2,12,0,0,0,0,96,4,4.0,Michigan,College Stats
3,93,GNB,Montravius Adams\AdamMo00,DT,22,2019,0,0,0,4,4,37,0,0,0,0,0,0,0,0,0,0,0,16,,1.5,Auburn,College Stats
3,94,PIT,Cameron Sutton\SuttCa00,CB,22,2019,0,0,0,4,4,36,0,0,0,0,0,0,0,0,0,0,0,37,2,1.0,Tennessee,College Stats
3,95,SEA,Delano Hill\HillDe02,S,21,2019,0,0,0,5,5,40,0,0,0,0,0,0,0,0,0,0,0,33,,,Michigan,College Stats
3,96,DET,Kenny Golladay\GollKe00,WR,23,2019,0,1,2,20,20,42,0,0,0,0,0,2,17,0,163,2730,19,,,,Northern Illinois,College Stats
3,97,MIA,Cordrea Tankersley\TankCo00,CB,23,2018,0,0,1,3,3,17,0,0,0,0,0,0,0,0,0,0,0,26,,,Clemson,College Stats
3,98,ARI,Chad Williams\WillCh05,WR,22,2019,0,0,0,1,1,17,0,0,0,0,0,3,42,0,20,202,1,,,,Grambling St.,
3,99,PHI,Rasul Douglas\DougRa00,CB,22,2019,0,0,0,10,10,46,0,0,0,0,0,0,0,0,0,0,0,95,5,,West Virginia,College Stats
3,100,TEN,Jonnu Smith\SmitJo01,TE,22,2019,0,0,3,7,7,45,0,0,0,0,0,4,78,0,73,854,8,,,,Florida International,College Stats
3,101,DEN,Brendan Langley\LangBr00,CB,22,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,6,,,Lamar,
3,102,SEA,Nazair Jones\JoneNa00,DT,22,2018,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,0,0,12,1,2.0,North Carolina,College Stats
3,103,NOR,Trey Hendrickson\HendTr00,OLB,22,2019,0,0,0,4,4,30,0,0,0,0,0,0,0,0,0,0,0,25,,6.5,Florida Atlantic,College Stats
3,104,SFO,C.J. Beathard\BeatC.00,QB,23,2018,0,0,0,7,7,13,225,393,2682,12,13,45,205,4,0,0,0,,,,Iowa,College Stats
3,105,PIT,James Conner\ConnJa00,RB,22,2019,0,1,2,16,16,37,0,0,0,0,0,363,1581,16,89,748,4,,,,Pittsburgh,College Stats
3,106,SEA,Amara Darboh\DarbAm00,WR,23,2017,0,0,0,1,1,16,0,0,0,0,0,0,0,0,8,71,0,2,,,Michigan,College Stats
3,107,TAM,Kendell Beckwith\BeckKe00,ILB,22,2017,0,0,0,5,5,16,0,0,0,0,0,0,0,0,0,0,0,60,,1.0,LSU,College Stats
4,108,GNB,Vince Biegel\BiegVi00,LB,24,2019,0,0,1,6,1,38,0,0,0,0,0,0,0,0,0,0,0,41,1,2.5,Wisconsin,College Stats
4,109,MIN,Jaleel Johnson\JohnJa09,DT,23,2019,0,0,0,5,5,37,0,0,0,0,0,0,0,0,0,0,0,21,,4.0,Iowa,College Stats
4,110,JAX,Dede Westbrook\WestDe00,WR,23,2019,0,0,2,13,13,38,0,1,0,0,0,14,125,0,159,1716,9,,,,Oklahoma,College Stats
4,111,SEA,Tedric Thompson\ThomTe00,S,22,2019,0,0,1,8,8,29,0,0,0,0,0,0,0,0,0,0,0,52,3,,Colorado,College Stats
4,112,CHI,Eddie Jackson\JackEd01,S,24,2019,1,2,3,29,29,46,0,0,0,0,0,0,0,0,0,0,0,147,10,2.0,Alabama,College Stats
4,113,LAC,Rayshawn Jenkins\JenkRa00,S,23,2019,0,0,1,8,8,46,0,0,0,0,0,0,0,0,0,0,0,57,3,0.5,Miami (FL),College Stats
4,114,WAS,Samaje Perine\PeriSa00,RB,21,2019,0,0,1,5,5,28,0,0,0,0,0,188,651,1,25,187,1,3,,,Oklahoma,College Stats
4,115,ARI,Dorian Johnson\JohnDo03,G,22,,0,0,0,,,,,,,,,,,,,,,,,,Pittsburgh,College Stats
4,116,CIN,Carl Lawson\LawsCa00,OLB,22,2019,0,0,0,5,5,35,0,0,0,0,0,0,0,0,0,0,0,31,,14.5,Auburn,College Stats
4,117,LAR,Josh Reynolds\ReynJo00,WR,22,2019,0,0,1,8,8,48,0,0,0,0,0,7,31,0,61,832,7,4,,,Texas A&M,College Stats
4,118,PHI,Mack Hollins\HollMa00,WR,23,2019,0,0,0,3,3,32,0,0,0,0,0,0,0,0,26,351,1,5,,,North Carolina,College Stats
4,119,CHI,Tarik Cohen\CoheTa00,RB,22,2019,1,1,1,20,20,48,2,3,22,2,0,250,1027,5,203,1534,9,1,,,North Carolina A&T,
4,120,MIN,Ben Gedeon\GedeBe00,ILB,22,2019,0,0,2,15,15,39,0,0,0,0,0,0,0,0,0,0,0,60,,,Michigan,College Stats
4,121,SFO,Joe Williams\WillJo12,RB,24,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats
4,122,BAL,Nico Siragusa\SiraNi00,G,23,,0,0,0,,,,,,,,,,,,,,,,,,San Diego St.,College Stats
